megak_left_neutral_sunglasses,megak,left,neutral,sunglasses
sz24_up_happy_open,sz24,up,happy,open
boland_right_angry_sunglasses,boland,right,angry,sunglasses
cheyer_up_happy_open,cheyer,up,happy,open
choon_straight_sad_sunglasses,choon,straight,sad,sunglasses
cheyer_right_happy_open,cheyer,right,happy,open
kawamura_right_neutral_open,kawamura,right,neutral,open
karyadi_left_neutral_sunglasses,karyadi,left,neutral,sunglasses
kk49_straight_neutral_sunglasses,kk49,straight,neutral,sunglasses
tammo_left_sad_sunglasses,tammo,left,sad,sunglasses
steffi_up_happy_open,steffi,up,happy,open
bpm_straight_angry_sunglasses,bpm,straight,angry,sunglasses
an2i_left_sad_sunglasses,an2i,left,sad,sunglasses
steffi_right_sad_open,steffi,right,sad,open
ch4f_straight_neutral_open,ch4f,straight,neutral,open
night_straight_happy_sunglasses,night,straight,happy,sunglasses
ch4f_up_angry_open,ch4f,up,angry,open
boland_up_sad_sunglasses,boland,up,sad,sunglasses
bpm_left_sad_open,bpm,left,sad,open
tammo_left_happy_sunglasses,tammo,left,happy,sunglasses
steffi_right_angry_sunglasses,steffi,right,angry,sunglasses
at33_left_sad_open,at33,left,sad,open
an2i_left_sad_open,an2i,left,sad,open
saavik_right_sad_open,saavik,right,sad,open
ch4f_left_happy_sunglasses,ch4f,left,happy,sunglasses
phoebe_left_sad_open,phoebe,left,sad,open
karyadi_up_happy_open,karyadi,up,happy,open
bpm_straight_sad_sunglasses,bpm,straight,sad,sunglasses
bpm_straight_happy_open,bpm,straight,happy,open
danieln_straight_neutral_sunglasses,danieln,straight,neutral,sunglasses
saavik_left_sad_open,saavik,left,sad,open
phoebe_up_sad_sunglasses,phoebe,up,sad,sunglasses
saavik_straight_sad_sunglasses,saavik,straight,sad,sunglasses
glickman_right_sad_sunglasses,glickman,right,sad,sunglasses
an2i_right_angry_sunglasses,an2i,right,angry,sunglasses
sz24_up_neutral_sunglasses,sz24,up,neutral,sunglasses
kawamura_left_sad_open,kawamura,left,sad,open
steffi_straight_happy_sunglasses,steffi,straight,happy,sunglasses
an2i_left_neutral_sunglasses,an2i,left,neutral,sunglasses
kk49_right_angry_sunglasses,kk49,right,angry,sunglasses
cheyer_up_neutral_open,cheyer,up,neutral,open
phoebe_right_happy_sunglasses,phoebe,right,happy,sunglasses
boland_left_sad_open,boland,left,sad,open
choon_right_sad_sunglasses,choon,right,sad,sunglasses
at33_straight_neutral_open,at33,straight,neutral,open
cheyer_straight_sad_sunglasses,cheyer,straight,sad,sunglasses
ch4f_right_angry_sunglasses,ch4f,right,angry,sunglasses
mitchell_up_sad_sunglasses,mitchell,up,sad,sunglasses
boland_left_angry_open,boland,left,angry,open
tammo_right_angry_open,tammo,right,angry,open
at33_right_neutral_open,at33,right,neutral,open
megak_up_angry_open,megak,up,angry,open
at33_right_happy_open,at33,right,happy,open
saavik_left_angry_open,saavik,left,angry,open
at33_up_sad_open,at33,up,sad,open
megak_up_neutral_open,megak,up,neutral,open
phoebe_up_happy_sunglasses,phoebe,up,happy,sunglasses
glickman_left_neutral_sunglasses,glickman,left,neutral,sunglasses
ch4f_left_angry_open,ch4f,left,angry,open
kk49_right_sad_sunglasses,kk49,right,sad,sunglasses
an2i_up_angry_open,an2i,up,angry,open
karyadi_straight_sad_open,karyadi,straight,sad,open
an2i_right_sad_open,an2i,right,sad,open
karyadi_left_angry_sunglasses,karyadi,left,angry,sunglasses
at33_straight_sad_sunglasses,at33,straight,sad,sunglasses
mitchell_up_angry_sunglasses,mitchell,up,angry,sunglasses
boland_straight_sad_open,boland,straight,sad,open
mitchell_left_neutral_open,mitchell,left,neutral,open
choon_straight_happy_sunglasses,choon,straight,happy,sunglasses
cheyer_left_sad_sunglasses,cheyer,left,sad,sunglasses
an2i_up_angry_sunglasses,an2i,up,angry,sunglasses
at33_left_angry_sunglasses,at33,left,angry,sunglasses
choon_right_angry_open,choon,right,angry,open
steffi_right_neutral_sunglasses,steffi,right,neutral,sunglasses
ch4f_right_sad_open,ch4f,right,sad,open
choon_up_sad_open,choon,up,sad,open
sz24_right_neutral_sunglasses,sz24,right,neutral,sunglasses
danieln_right_angry_open,danieln,right,angry,open
ch4f_left_happy_open,ch4f,left,happy,open
night_straight_sad_open,night,straight,sad,open
megak_right_happy_open,megak,right,happy,open
ch4f_left_angry_sunglasses,ch4f,left,angry,sunglasses
phoebe_right_angry_open,phoebe,right,angry,open
bpm_up_neutral_open,bpm,up,neutral,open
choon_right_happy_open,choon,right,happy,open
night_right_angry_open,night,right,angry,open
karyadi_up_angry_sunglasses,karyadi,up,angry,sunglasses
choon_right_neutral_open,choon,right,neutral,open
kk49_up_sad_open,kk49,up,sad,open
an2i_left_angry_open,an2i,left,angry,open
an2i_right_happy_open,an2i,right,happy,open
saavik_straight_angry_sunglasses,saavik,straight,angry,sunglasses
tammo_right_happy_sunglasses,tammo,right,happy,sunglasses
glickman_up_sad_open,glickman,up,sad,open
mitchell_right_happy_open,mitchell,right,happy,open
tammo_left_neutral_sunglasses,tammo,left,neutral,sunglasses
an2i_right_neutral_open,an2i,right,neutral,open
night_up_sad_sunglasses,night,up,sad,sunglasses
mitchell_left_angry_open,mitchell,left,angry,open
steffi_left_angry_sunglasses,steffi,left,angry,sunglasses
phoebe_straight_angry_open,phoebe,straight,angry,open
phoebe_straight_angry_sunglasses,phoebe,straight,angry,sunglasses
kawamura_right_sad_sunglasses,kawamura,right,sad,sunglasses
cheyer_right_angry_open,cheyer,right,angry,open
